80,320,0
80,320,0
72,299,21
70,282,37
69,275,41
67,267,47
67,257,55
66,250,56
65,246,57
64,242,59
64,235,65
64,229,67
63,222,71
63,219,73
63,213,77
64,212,76
64,209,78
63,204,80
63,202,79
62,200,77
61,193,82
60,189,83
60,186,86
60,183,87
60,183,93
62,181,92
62,179,94
62,178,93
60,174,91
61,170,95
61,173,94
61,172,93
60,169,93
59,171,92
59,170,89
59,169,92
58,167,92
57,164,94
59,164,96
59,164,98
59,161,99
58,159,86
57,159,77
58,158,74
58,162,72
58,163,70
57,164,69
57,161,68
57,159,66
57,163,63
59,162,63
59,160,57
59,160,52
59,159,50
59,160,50
61,157,53
63,158,52
63,157,50
63,156,46
63,156,44
64,154,44
60,153,44
60,150,44
62,151,42
62,155,39
61,152,42
59,151,42
59,151,40
59,150,38
64,151,38
64,152,37
64,150,38
63,153,36
63,152,36
63,151,36
63,152,35
63,153,33
63,152,32
63,152,32
64,151,34
64,151,31
64,153,31
64,152,31
64,152,30
64,151,29
66,149,30
65,148,29
65,148,30
65,145,31
65,147,32
65,145,34
64,146,34
64,146,37
64,146,37
63,144,38
66,145,38
66,145,38
65,143,40
65,143,40
65,142,39
65,139,44
65,137,43
65,136,43
65,133,45
66,134,40
69,134,40
69,133,41
69,133,39
69,133,39
69,133,37
69,132,36
69,132,35
69,132,35
69,134,34
69,141,34
72,139,36
74,138,35
74,139,33
74,140,33
76,140,34
74,138,35
74,138,35
73,138,35
73,138,37
73,135,38
72,134,36
72,134,36
72,136,32
72,136,31
72,138,29
72,136,29
74,136,26
76,138,25
76,137,25
75,137,26
76,139,25
76,140,22
76,140,22
77,143,21
77,148,19
77,152,17
75,154,18
75,153,18
75,155,21
75,151,22
75,150,20
75,147,23
74,143,28
76,141,27
76,137,29
75,132,33
75,135,32
75,133,32
74,129,33
74,128,34
74,128,34
75,125,36
76,125,34
75,125,32
74,123,32
73,123,29
73,122,30
73,123,28
73,125,28
73,124,28
73,123,29
75,123,28
75,122,29
76,123,31
75,123,30
78,121,31
79,118,32
82,118,29
82,118,29
82,118,28
81,121,27
80,124,27
79,127,25
80,124,27
79,124,24
82,123,25
82,125,24
82,125,23
82,123,24
82,123,23
83,122,22
84,121,19
84,122,19
84,120,19
84,121,16
84,119,17
87,118,17
87,120,15
87,120,13
89,118,14
88,117,13
88,115,14
91,113,14
90,113,12
90,118,11
88,114,15
