125,398,0,828
125,398,0,828
125,398,0,828
125,398,0,828
125,398,0,828
125,398,0,828
125,398,0,828
125,398,0,828
125,398,0,828
125,398,1,828
125,398,1,828
125,398,1,828
125,398,1,828
125,398,1,828
125,398,1,828
125,398,2,828
124,398,3,828
124,398,4,828
124,398,6,828
124,398,6,828
124,398,7,828
124,398,7,828
124,398,7,828
124,398,7,828
124,398,8,828
124,398,8,828
124,398,8,828
124,398,9,828
126,398,10,828
126,398,13,828
125,398,17,828
125,398,17,828
125,398,18,828
125,398,18,828
125,398,18,828
124,398,18,828
124,398,18,828
124,398,18,828
127,398,20,828
127,398,21,828
135,398,22,828
133,398,24,828
134,398,26,828
134,398,27,828
134,398,29,828
135,398,30,828
135,398,29,828
134,398,31,828
138,398,31,828
137,398,31,828
137,398,33,828
137,398,32,828
137,398,35,828
137,398,35,828
139,398,35,828
139,398,36,828
139,398,37,828
139,398,39,828
138,398,42,828
138,398,42,828
138,398,43,828
142,398,45,828
142,398,45,828
142,398,46,828
142,398,48,828
139,398,49,828
143,398,54,828
143,398,54,828
146,398,55,828
146,398,56,828
150,398,60,828
151,398,60,828
150,398,60,828
151,398,62,828
151,398,62,828
151,398,65,828
151,398,65,828
149,398,66,828
149,398,68,828
149,398,70,828
151,398,74,828
151,398,76,828
150,398,77,828
154,398,78,828
154,398,79,828
157,398,79,828
157,398,80,828
157,398,81,828
157,398,82,828
157,398,84,828
157,398,84,828
158,398,83,828
158,398,89,828
159,398,90,828
159,398,92,828
161,398,93,828
163,398,96,828
163,398,98,828
163,398,97,828
166,398,98,828
166,398,99,828
167,398,100,828
166,398,100,828
166,398,100,828
164,398,99,828
164,398,100,828
163,398,102,828
162,398,103,828
162,398,103,828
162,398,102,828
165,398,102,828
165,398,103,828
165,398,105,828
165,398,109,828
164,398,108,828
164,398,110,828
163,398,110,828
162,398,109,828
165,398,110,828
165,398,110,828
165,398,109,828
165,398,108,828
164,398,113,828
167,398,113,828
167,398,112,828
167,398,116,828
166,398,121,828
166,398,122,828
165,397,123,828
165,393,127,828
165,391,128,828
164,391,132,828
168,392,133,828
168,391,133,828
168,388,134,828
168,384,137,828
167,382,139,828
167,378,143,828
166,376,145,828
167,377,146,828
171,377,146,828
171,377,146,828
172,376,145,828
172,375,146,828
172,370,150,828
170,370,149,828
170,369,150,828
168,372,152,828
168,372,150,828
168,372,150,828
168,370,152,828
167,370,153,828
166,372,156,828
166,372,156,828
164,374,159,828
164,377,161,828
163,377,160,828
163,375,162,828
163,372,165,828
163,371,166,828
163,370,165,828
162,372,165,828
161,369,166,828
161,368,167,828
159,367,168,828
157,371,169,828
157,370,169,828
157,369,169,828
156,366,171,828
156,365,172,828
156,363,172,828
156,363,172,828
154,361,172,828
154,362,175,828
153,355,182,828
150,353,184,828
150,348,188,828
149,346,188,828
148,343,190,828
148,347,192,828
147,347,189,828
147,346,190,828
147,344,192,828
147,342,193,828
147,344,192,828
147,342,193,828
146,340,194,828
143,338,196,828
142,338,196,828
142,336,198,828
142,334,200,828
142,333,200,828
142,332,201,828
141,331,201,828
141,330,202,828
141,327,204,828
141,325,205,828
140,323,205,828
139,321,204,828
139,321,204,828
138,320,205,828
138,317,206,828
137,314,209,828
137,311,212,828
137,308,214,828
136,307,214,828
136,306,214,828
135,305,215,828
134,304,214,828
134,304,213,828
134,299,217,828
132,298,217,828
132,298,217,828
132,301,218,828
131,301,217,828
135,300,217,828
135,297,220,828
135,295,220,828
135,293,221,828
135,300,221,828
135,302,220,828
135,304,219,828
134,303,220,828
134,308,218,828
133,307,216,828
132,305,216,828
132,308,216,828
132,306,216,828
131,306,215,828
131,305,216,828
131,305,214,828
130,302,216,828
130,300,215,828
130,300,214,828
130,299,213,828
129,298,214,828
129,296,214,828
132,296,213,828
129,294,214,828
129,294,214,828
129,293,212,828
128,294,213,828
128,292,215,828
128,289,218,828
130,288,219,828
130,284,222,828
130,282,221,828
130,281,222,828
129,281,221,828
129,281,221,828
130,277,224,828
130,275,225,828
130,273,227,828
130,271,229,828
130,267,231,828
128,264,233,828
127,264,233,828
127,263,233,828
127,263,232,828
127,263,232,828
127,260,233,828
127,259,234,828
127,258,235,828
127,256,236,828
126,260,239,828
126,260,238,828
126,257,240,828
127,257,239,828
129,255,240,828
129,255,239,828
128,253,242,828
128,253,242,828
128,254,243,828
128,253,243,828
128,251,244,828
131,250,244,828
130,250,244,828
129,249,242,828
127,249,240,828
129,245,240,828
129,250,240,828
131,250,240,828
131,250,239,828
129,250,236,828
129,249,236,828
129,254,235,828
132,253,236,828
131,251,237,828
131,254,235,828
131,254,235,828
130,254,233,828
130,258,233,828
130,256,234,828
130,256,233,828
130,255,233,828
130,254,234,828
130,255,235,828
130,252,238,828
129,255,233,828
128,255,231,828
127,255,230,828
129,254,228,828
129,251,231,828
129,250,232,828
132,249,231,828
132,248,230,828
132,249,228,828
132,248,229,828
133,247,228,828
133,253,227,828
133,252,226,828
132,252,226,828
132,252,225,828
132,251,226,828
132,258,226,828
131,263,224,828
131,260,227,828
131,259,228,828
131,265,228,828
131,264,229,828
130,262,229,828
129,261,230,828
129,268,230,828
127,268,227,828
128,266,228,828
128,264,230,828
128,268,231,828
130,268,229,828
129,268,227,828
128,267,224,828
130,267,224,828
129,267,222,828
129,269,222,828
129,269,220,828
131,267,221,828
131,267,219,828
134,271,219,828
134,269,221,828
133,269,217,828
137,267,216,828
136,266,216,828
135,267,215,828
137,267,213,828
137,268,212,828
137,274,212,828
137,273,212,828
136,271,212,828
136,270,212,828
135,270,210,828
134,268,211,828
134,267,212,828
134,267,210,828
138,265,212,828
138,262,213,828
137,260,213,828
137,259,212,828
137,259,209,828
136,261,210,828
136,257,211,828
135,257,212,828
135,257,212,828
134,255,212,828
134,254,212,828
134,252,214,828
134,254,213,828
133,254,212,828
132,253,211,828
132,258,207,828
132,262,207,828
130,259,210,828
130,256,211,828
130,255,208,828
130,252,211,828
130,252,210,828
130,248,213,828
130,247,214,828
130,246,215,828
130,244,217,828
130,244,214,828
130,244,213,828
130,244,210,828
129,243,211,828
129,243,208,828
129,242,208,828
129,242,205,828
129,242,202,828
129,241,202,828
128,240,203,828
128,239,201,828
128,244,201,828
128,243,199,828
128,241,200,828
128,241,200,828
132,240,199,828
132,240,198,828
132,237,201,828
132,236,201,828
131,234,202,828
133,235,203,828
132,234,203,828
133,234,203,828
133,234,199,828
132,234,197,828
132,231,200,828
136,237,199,828
136,237,194,828
136,236,194,828
137,236,191,828
137,233,192,828
137,234,190,828
136,243,189,828
136,242,188,828
136,240,185,828
136,240,182,828
135,243,182,828
