65,114,0,642
65,114,0,534
65,117,0,534
65,117,0,534
65,117,0,534
65,117,0,534
65,117,1,534
65,121,2,534
65,121,2,534
65,128,2,534
65,129,2,534
65,134,2,534
65,138,3,533
65,137,4,533
65,136,5,533
65,139,6,532
65,138,7,532
65,138,7,531
65,138,7,531
65,138,7,532
65,136,9,531
67,135,10,540
67,135,10,536
67,135,10,537
67,135,10,537
67,135,10,537
67,139,11,537
67,139,11,537
66,139,11,537
66,140,11,537
66,139,12,536
66,139,12,536
66,138,13,536
66,138,13,536
66,137,18,536
66,136,19,536
66,136,19,536
66,135,20,535
66,141,20,535
66,144,21,535
66,143,22,535
66,140,25,535
66,139,26,542
66,139,26,541
66,138,27,540
66,138,27,540
66,138,26,540
66,138,26,540
66,140,27,540
66,136,31,539
66,135,32,538
68,139,32,538
68,143,33,539
68,143,33,539
68,143,33,539
68,143,33,539
68,147,34,540
68,147,34,540
68,149,35,540
68,149,35,539
68,149,35,540
68,148,36,539
68,147,37,540
68,147,37,548
68,147,37,546
68,147,37,545
68,145,39,547
68,148,40,547
68,148,40,546
68,147,41,546
71,147,42,546
71,146,43,549
71,145,44,548
71,142,47,548
71,142,47,548
71,142,47,546
73,142,47,546
73,141,48,546
75,141,48,545
75,141,48,545
75,140,49,542
75,138,51,543
74,138,51,542
75,141,51,542
77,141,51,545
77,139,53,549
77,140,53,549
77,138,55,551
77,138,55,551
77,138,55,552
77,138,55,552
77,137,56,552
77,135,58,552
77,135,58,553
77,134,59,553
78,132,61,555
78,131,62,555
78,130,62,555
78,128,64,555
78,127,65,555
78,125,67,556
78,123,69,556
78,123,69,557
78,122,70,558
78,121,71,560
78,123,71,570
78,121,73,567
78,121,73,568
78,121,73,569
81,121,73,568
81,120,74,568
81,118,76,569
81,117,77,571
81,117,77,569
81,115,79,570
81,114,80,570
81,114,80,573
81,114,80,573
81,111,83,573
81,110,84,575
81,109,85,575
81,108,86,575
81,108,84,575
81,108,84,576
81,108,84,575
81,113,83,575
80,112,84,583
80,112,84,583
80,111,85,582
82,111,85,583
82,111,85,583
82,110,86,587
84,109,87,585
84,108,88,587
84,108,88,585
84,108,88,586
86,108,89,587
86,107,90,586
85,105,92,590
85,105,92,591
85,103,94,593
85,101,95,591
85,101,95,593
85,101,95,592
85,101,94,590
85,101,94,591
85,99,96,591
84,98,97,603
86,97,98,602
86,95,98,602
86,95,98,604
86,93,100,606
86,93,100,605
89,93,98,607
89,93,97,606
88,90,100,608
88,89,100,608
87,89,100,608
87,89,99,607
87,89,98,609
86,88,98,611
87,88,98,611
87,88,98,613
87,87,99,613
86,85,101,614
86,85,101,616
86,85,101,618
86,87,101,618
86,86,102,643
86,85,103,636
86,84,104,638
86,83,104,637
86,88,103,639
86,88,103,641
86,88,103,643
86,88,103,645
86,88,102,647
86,88,101,648
85,87,102,650
85,87,102,653
85,86,102,653
84,85,102,652
84,87,101,654
84,87,101,654
84,87,101,657
84,87,99,658
84,85,100,657
84,85,99,657
84,84,98,657
84,83,97,680
84,82,98,673
84,82,98,674
82,82,97,673
82,82,97,675
85,82,97,675
85,82,97,676
85,82,95,675
85,82,95,677
84,82,95,681
84,82,95,684
84,82,94,681
84,81,93,684
87,81,93,684
87,80,94,685
87,80,94,686
87,80,94,688
87,80,93,689
87,80,93,690
86,80,92,691
86,80,91,693
86,80,90,730
86,79,91,720
86,79,89,720
87,77,91,724
87,76,91,724
87,76,91,725
87,75,91,726
87,75,90,727
87,72,93,728
87,75,93,731
86,75,92,732
86,74,92,734
86,74,92,733
86,74,92,735
86,73,93,736
86,71,95,738
86,70,95,738
86,70,94,740
86,69,95,739
86,69,95,741
86,69,95,744
86,74,94,773
86,74,94,768
86,73,95,767
86,73,95,770
86,73,95,771
86,73,93,772
85,72,94,775
85,72,92,774
84,72,90,776
84,70,92,778
84,69,93,778
84,73,92,780
84,70,95,781
84,70,95,782
84,70,95,781
84,68,95,784
83,67,96,783
83,67,94,782
84,66,95,785
84,65,96,788
84,65,95,791
84,65,95,811
83,65,95,809
83,65,94,809
83,64,94,812
81,63,93,811
81,63,93,810
81,62,94,813
80,62,93,814
79,62,93,817
79,62,92,818
79,62,92,820
79,62,92,822
79,62,92,823
79,62,92,824
82,62,92,824
82,61,93,827
81,61,93,829
81,61,93,828
81,61,92,831
81,61,91,833
81,61,91,843
81,61,90,848
81,61,88,846
81,61,88,848
81,61,88,849
81,61,88,849
81,61,87,849
81,61,86,850
81,61,85,849
81,61,84,852
81,61,84,851
84,61,84,854
84,59,85,854
83,59,85,855
82,58,84,857
82,57,84,859
81,57,82,861
81,57,81,860
80,57,80,859
80,57,80,861
80,56,81,863
83,56,81,877
83,56,81,884
83,56,80,882
83,58,78,882
83,58,77,886
83,58,76,887
84,58,76,887
84,58,76,890
